Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW),Solar_Irradiance,Temperature_2m,Cloud_Cover
3/5/2024,572,1.134076828,Pentaari,Greece,504.375,4.22,6.1,85
3/5/2024,192.146,2.093093682,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,12.34,6.2,83
3/5/2024,2077.539,4.950882921,MAWC,Maldives,419.63,26.13,28.3,41
3/5/2024,56.16,0.864,Feuerwehr,Switzerland,65,5.71,6.3,100
3/5/2024,42.5,0.85,Wray Farms,United Kingdom,50,5.16,6.3,89
3/5/2024,129.485,1.198935185,Nugali,Brazil,108,7.64,22.2,100
3/5/2024,335.04,0.672204165,Schipper Power- Three,Netherlands,498.42,5.88,6.1,79
3/5/2024,1596.014,6.315345046,Wannon Water,Australia,252.72,25.06,17.5,36
3/6/2024,2628.005,5.182419641,siris-D-500kW,Greece,507.1,12.78,8.5,45
3/6/2024,1061.6,2.129930581,Schipper Power- Three,Netherlands,498.42,8.6,6.4,82
3/6/2024,1925.683,4.589002216,MAWC,Maldives,419.63,23.85,28.9,89
3/6/2024,2581,5.117224287,Pentaari,Greece,504.375,15.38,5.6,37
3/6/2024,30.558,0.470123077,Feuerwehr,Switzerland,65,2.18,3.3,100
3/6/2024,165.387,1.531361111,Nugali,Brazil,108,5.59,21.6,100
3/6/2024,133.699,1.188435556,DeCrescent 178kW PV,United States,112.5,20.74,27.6,62
3/6/2024,836.703,3.310790598,Wannon Water,Australia,252.72,23.63,17,32
3/6/2024,84.582,1.69164,Wray Farms,United Kingdom,50,5.58,6.1,84
3/6/2024,68.593,0.747200436,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,6.1,7.4,98
3/7/2024,187.318,2.040501089,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,10.86,4.1,83
3/7/2024,34.824,0.535753846,Feuerwehr,Switzerland,65,6.68,4.2,80
3/7/2024,282.632,2.512284444,DeCrescent 178kW PV,United States,112.5,16.8,26,94
3/7/2024,32.051,0.64102,Wray Farms,United Kingdom,50,5.99,5.5,72
