time,shortwave_radiation_sum (MJ/m²),cloud_cover_mean (%),temperature_2m_mean (°C),System Name
1/4/2025,8.5,95,26.3,MAWC
1/5/2025,16.13,94,26.3,MAWC
1/6/2025,18.96,70,26.9,MAWC
1/7/2025,20.57,41,27.1,MAWC
1/8/2025,22.22,44,27.8,MAWC
1/9/2025,22.5,79,27.9,MAWC
1/10/2025,20.19,75,26.7,MAWC
1/11/2025,3.64,99,25.7,MAWC
1/12/2025,23.07,53,27.2,MAWC
1/13/2025,16.87,94,26.5,MAWC
1/14/2025,6.75,100,26.2,MAWC
1/15/2025,14.04,99,26.5,MAWC
1/16/2025,11.94,99,26.3,MAWC
1/17/2025,21.03,90,27.2,MAWC
1/18/2025,22.03,93,28,MAWC
1/19/2025,21.41,88,27.6,MAWC
1/20/2025,19.55,86,27.3,MAWC
1/21/2025,21.27,66,27.3,MAWC
1/22/2025,19.05,87,26.3,MAWC
1/23/2025,5.63,100,25.8,MAWC
1/24/2025,15.74,99,26.3,MAWC
1/25/2025,16.36,86,26.1,MAWC
1/26/2025,17.9,95,26.5,MAWC
1/27/2025,7.39,100,26,MAWC
1/28/2025,11.67,100,26.4,MAWC
1/29/2025,22.61,90,27.8,MAWC
1/30/2025,18.23,95,27.8,MAWC
1/31/2025,15.86,81,26.8,MAWC
2/1/2025,22.89,67,27.2,MAWC
2/2/2025,23.8,64,27.7,MAWC
2/3/2025,24.84,9,27.7,MAWC
2/4/2025,24.11,26,27.3,MAWC
2/5/2025,24.85,13,27.6,MAWC
2/6/2025,23.02,39,27.8,MAWC
2/7/2025,22.69,84,27.4,MAWC
2/8/2025,23.99,77,27.9,MAWC
2/9/2025,24.71,62,27.8,MAWC
2/10/2025,25.15,42,27.7,MAWC
2/11/2025,25.29,63,27.8,MAWC
2/12/2025,23.09,87,27.7,MAWC
2/13/2025,24.18,75,27.5,MAWC
2/14/2025,26.07,67,27.3,MAWC
2/15/2025,25.58,96,27.3,MAWC
2/16/2025,25.21,58,27.5,MAWC
2/17/2025,24.95,99,27.8,MAWC
2/18/2025,24.29,78,27.8,MAWC
2/19/2025,25.32,31,27.8,MAWC
2/20/2025,25.83,5,28,MAWC
2/21/2025,25.75,5,27.8,MAWC
2/22/2025,25.93,4,27.9,MAWC
2/23/2025,25.31,12,28,MAWC
2/24/2025,25.15,10,28.2,MAWC
2/25/2025,24.45,15,28.1,MAWC
2/26/2025,21.17,46,27.8,MAWC
2/27/2025,20.8,88,26.8,MAWC
2/28/2025,12.69,100,26.7,MAWC
3/1/2025,10.77,100,26,MAWC
3/2/2025,15.98,99,26.6,MAWC
3/3/2025,12.07,97,27,MAWC
3/4/2025,24.94,77,28,MAWC
3/5/2025,26.01,18,28.1,MAWC
3/6/2025,26.31,28,28,MAWC
3/7/2025,25.78,58,27.7,MAWC
3/8/2025,26.52,6,28,MAWC
3/9/2025,24.57,31,28.3,MAWC
3/10/2025,25.77,19,28.4,MAWC
3/11/2025,20.04,98,27,MAWC
3/12/2025,3.75,99,26.4,MAWC
3/13/2025,25.58,21,28.5,MAWC
3/14/2025,25.36,42,28.2,MAWC
3/15/2025,25.51,39,27.4,MAWC
3/16/2025,25.89,13,28,MAWC
3/17/2025,25.19,10,28.6,MAWC
3/18/2025,25.55,9,28.5,MAWC
3/19/2025,25.37,53,28.1,MAWC
3/20/2025,22.84,59,27.8,MAWC
3/21/2025,24.2,58,28.1,MAWC
3/22/2025,14.45,92,27.2,MAWC
3/23/2025,25.12,72,28.4,MAWC
3/24/2025,25.51,16,29.2,MAWC
3/25/2025,25.01,20,28.6,MAWC
3/26/2025,23.32,42,28.1,MAWC
3/27/2025,24.21,79,28.2,MAWC
3/28/2025,26.19,30,29.2,MAWC
3/29/2025,24.62,29,29.3,MAWC
3/30/2025,NaN,NaN,NaN,MAWC
