Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW)
2024-02-26,253.094,2.343462963,Nugali,Brazil,108.0
2024-02-27,68.538,1.054430769,Feuerwehr,Switzerland,65.0
2024-02-27,1021.18,2.048834316,Schipper Power- Three,Netherlands,498.42
2024-02-27,2627.272,5.180974167,siris-D-500kW,Greece,507.1
2024-02-27,1759.329,4.192572028,MAWC,Maldives,419.63
2024-02-27,371.221,3.437231481,Nugali,Brazil,108.0
2024-02-27,60.117,1.20234,Wray Farms,United Kingdom,50.0
2024-02-27,1665.504,6.59031339,Wannon Water,Australia,252.72
2024-02-27,81.88,0.891938998,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-02-27,2261.0,4.479578393,Pentaari,Greece,504.375
2024-02-28,182.074,1.983376906,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-02-28,580.13,1.163938044,Schipper Power- Three,Netherlands,498.42
2024-02-28,2239.964,4.417203707,siris-D-500kW,Greece,507.1
2024-02-28,48.578,0.97156,Wray Farms,United Kingdom,50.0
2024-02-28,41.766,0.642553846,Feuerwehr,Switzerland,65.0
2024-02-28,599.404,5.550037037,Nugali,Brazil,108.0
2024-02-28,711.763,2.816409465,Wannon Water,Australia,252.72
2024-02-28,403.0,0.798438785,Pentaari,Greece,504.375
2024-02-28,1920.269,4.576100374,MAWC,Maldives,419.63
2024-02-29,31.899,0.63798,Wray Farms,United Kingdom,50.0
2024-02-29,1250.759,4.949188826,Wannon Water,Australia,252.72
2024-02-29,218.1,0.437582762,Schipper Power- Three,Netherlands,498.42
2024-02-29,1285.0,2.545890418,Pentaari,Greece,504.375
2024-02-29,520.831,4.822509259,Nugali,Brazil,108.0
2024-02-29,1575.086,3.106065865,siris-D-500kW,Greece,507.1
2024-02-29,90.141,1.386784615,Feuerwehr,Switzerland,65.0
2024-02-29,84.835,0.92412854,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-02-29,1684.881,4.015158592,MAWC,Maldives,419.63
2024-03-01,82.36,0.897167756,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-01,798.2,1.601460616,Schipper Power- Three,Netherlands,498.42
2024-03-01,54.139,1.08278,Wray Farms,United Kingdom,50.0
2024-03-01,33.804,0.520061538,Feuerwehr,Switzerland,65.0
2024-03-01,553.645,1.319364678,MAWC,Maldives,419.63
2024-03-01,369.755,0.729155985,siris-D-500kW,Greece,507.1
2024-03-01,627.14,5.806851852,Nugali,Brazil,108.0
2024-03-01,1617.257,6.399402501,Wannon Water,Australia,252.72
2024-03-01,0.08,0.000158499,Pentaari,Greece,504.375
2024-03-02,2265.0,4.487503343,Pentaari,Greece,504.375
2024-03-02,94.665,1.456384615,Feuerwehr,Switzerland,65.0
2024-03-02,1529.307,6.051388889,Wannon Water,Australia,252.72
2024-03-02,1480.927,3.529125658,MAWC,Maldives,419.63
2024-03-02,77.794,1.55588,Wray Farms,United Kingdom,50.0
2024-03-02,1084.03,2.174932788,Schipper Power- Three,Netherlands,498.42
2024-03-02,1144.074,2.256111221,siris-D-500kW,Greece,507.1
2024-03-02,593.996,5.499962963,Nugali,Brazil,108.0
2024-03-02,143.574,1.563986928,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-03,2611.0,5.17301158,Pentaari,Greece,504.375
2024-03-03,770.35,1.545584046,Schipper Power- Three,Netherlands,498.42
2024-03-03,77.945,1.199153846,Feuerwehr,Switzerland,65.0
2024-03-03,1198.213,2.85540357,MAWC,Maldives,419.63
2024-03-03,2413.607,4.759627292,siris-D-500kW,Greece,507.1
2024-03-03,950.304,3.760303894,Wannon Water,Australia,252.72
2024-03-03,184.129,2.005762527,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-03,77.301,1.54602,Wray Farms,United Kingdom,50.0
2024-03-03,652.92,6.045555556,Nugali,Brazil,108.0
2024-03-04,423.273,3.919194444,Nugali,Brazil,108.0
2024-03-04,122.318,2.44636,Wray Farms,United Kingdom,50.0
2024-03-04,1910.191,3.766892132,siris-D-500kW,Greece,507.1
2024-03-04,61.596,0.947630769,Feuerwehr,Switzerland,65.0
2024-03-04,990.0,1.961425302,Pentaari,Greece,504.375
2024-03-04,2030.221,4.838121679,MAWC,Maldives,419.63
2024-03-04,1654.577,6.547075815,Wannon Water,Australia,252.72
2024-03-04,154.483,1.682821351,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-04,965.37,1.936860479,Schipper Power- Three,Netherlands,498.42
2024-03-05,511.905,1.009475449,siris-D-500kW,Greece,507.1
2024-03-05,572.0,1.133267952,Pentaari,Greece,504.375
2024-03-05,192.146,2.093093682,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-05,2077.539,4.950882921,MAWC,Maldives,419.63
2024-03-05,56.16,0.864,Feuerwehr,Switzerland,65.0
2024-03-05,42.5,0.85,Wray Farms,United Kingdom,50.0
2024-03-05,129.485,1.198935185,Nugali,Brazil,108.0
2024-03-05,335.04,0.672204165,Schipper Power- Three,Netherlands,498.42
2024-03-05,1596.014,6.315345046,Wannon Water,Australia,252.72
2024-03-06,2628.005,5.182419641,siris-D-500kW,Greece,507.1
2024-03-06,1061.6,2.129930581,Schipper Power- Three,Netherlands,498.42
2024-03-06,1925.683,4.589002216,MAWC,Maldives,419.63
2024-03-06,2581.0,5.11357445,Pentaari,Greece,504.375
2024-03-06,30.558,0.470123077,Feuerwehr,Switzerland,65.0
2024-03-06,165.387,1.531361111,Nugali,Brazil,108.0
2024-03-06,133.699,1.188435556,DeCrescent 178kW PV,United States,112.5
2024-03-06,836.703,3.310790598,Wannon Water,Australia,252.72
2024-03-06,84.582,1.69164,Wray Farms,United Kingdom,50.0
2024-03-06,68.593,0.747200436,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-07,187.318,2.040501089,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-07,34.824,0.535753846,Feuerwehr,Switzerland,65.0
2024-03-07,282.632,2.512284444,DeCrescent 178kW PV,United States,112.5
2024-03-07,32.051,0.64102,Wray Farms,United Kingdom,50.0
2024-03-07,1067.84,2.142450142,Schipper Power- Three,Netherlands,498.42
2024-03-07,1485.35,5.877453308,Wannon Water,Australia,252.72
2024-03-07,1613.0,3.195736377,Pentaari,Greece,504.375
2024-03-07,167.536,1.551259259,Nugali,Brazil,108.0
2024-03-07,879.171,1.733723132,siris-D-500kW,Greece,507.1
2024-03-07,2053.201,4.892884208,MAWC,Maldives,419.63
2024-03-08,2645.0,5.240373661,Pentaari,Greece,504.375
2024-03-08,71.31,1.097076923,Feuerwehr,Switzerland,65.0
2024-03-08,1555.424,6.15473251,Wannon Water,Australia,252.72
2024-03-08,1504.067,3.584269475,MAWC,Maldives,419.63
2024-03-08,2690.92,5.306487872,siris-D-500kW,Greece,507.1
2024-03-08,701.856,6.23872,DeCrescent 178kW PV,United States,112.5
2024-03-08,85.614,0.932614379,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-08,24.253,0.224564815,Nugali,Brazil,108.0
2024-03-08,1259.62,2.527226034,Schipper Power- Three,Netherlands,498.42
2024-03-08,142.501,2.85002,Wray Farms,United Kingdom,50.0
2024-03-09,1965.634,4.684207516,MAWC,Maldives,419.63
2024-03-09,410.674,0.809848156,siris-D-500kW,Greece,507.1
2024-03-09,1077.85,2.162533606,Schipper Power- Three,Netherlands,498.42
2024-03-09,157.545,3.1509,Wray Farms,United Kingdom,50.0
2024-03-09,1006.0,1.993125105,Pentaari,Greece,504.375
2024-03-09,139.629,2.148138462,Feuerwehr,Switzerland,65.0
2024-03-09,198.313,1.762782222,DeCrescent 178kW PV,United States,112.5
2024-03-09,98.727,1.075457516,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-09,484.383,4.485027778,Nugali,Brazil,108.0
2024-03-09,1446.336,5.723076923,Wannon Water,Australia,252.72
2024-03-10,209.171,1.859297778,DeCrescent 178kW PV,United States,112.5
2024-03-10,21.455,0.4291,Wray Farms,United Kingdom,50.0
2024-03-10,49.479,0.761215385,Feuerwehr,Switzerland,65.0
2024-03-10,975.273,1.923236048,siris-D-500kW,Greece,507.1
2024-03-10,1124.709,4.45041548,Wannon Water,Australia,252.72
2024-03-10,57.503,0.626394336,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-10,903.38,1.81248746,Schipper Power- Three,Netherlands,498.42
2024-03-10,677.489,6.273046296,Nugali,Brazil,108.0
2024-03-10,1695.0,3.358197866,Pentaari,Greece,504.375
2024-03-10,2051.733,4.889385888,MAWC,Maldives,419.63
2024-03-11,176.49,0.354098953,Schipper Power- Three,Netherlands,498.42
2024-03-11,153.696,2.364553846,Feuerwehr,Switzerland,65.0
2024-03-11,644.226,5.965055556,Nugali,Brazil,108.0
2024-03-11,1233.127,4.879419911,Wannon Water,Australia,252.72
2024-03-11,20.533,0.41066,Wray Farms,United Kingdom,50.0
2024-03-11,66.449,0.723845316,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-11,733.0,1.452247219,Pentaari,Greece,504.375
2024-03-11,478.394,4.252391111,DeCrescent 178kW PV,United States,112.5
2024-03-11,1592.318,3.794576174,MAWC,Maldives,419.63
2024-03-11,1242.953,2.451100375,siris-D-500kW,Greece,507.1
2024-03-12,147.167,1.603126362,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-12,684.799,6.340731481,Nugali,Brazil,108.0
2024-03-12,733.713,6.521893333,DeCrescent 178kW PV,United States,112.5
2024-03-12,361.43,0.725151479,Schipper Power- Three,Netherlands,498.42
2024-03-12,1953.74,3.852770657,siris-D-500kW,Greece,507.1
2024-03-12,1877.725,4.474715821,MAWC,Maldives,419.63
2024-03-12,1448.0,2.868832159,Pentaari,Greece,504.375
2024-03-12,46.296,0.92592,Wray Farms,United Kingdom,50.0
2024-03-12,464.006,1.8360478,Wannon Water,Australia,252.72
2024-03-12,36.033,0.554353846,Feuerwehr,Switzerland,65.0
2024-03-13,40.536,0.623630769,Feuerwehr,Switzerland,65.0
2024-03-13,2980.077,5.876704792,siris-D-500kW,Greece,507.1
2024-03-13,70.31,1.4062,Wray Farms,United Kingdom,50.0
2024-03-13,625.936,5.563875556,DeCrescent 178kW PV,United States,112.5
2024-03-13,2779.0,5.50585951,Pentaari,Greece,504.375
2024-03-13,2026.713,4.829761933,MAWC,Maldives,419.63
2024-03-13,686.331,6.354916667,Nugali,Brazil,108.0
2024-03-13,855.35,3.384575815,Wannon Water,Australia,252.72
2024-03-13,319.966,3.48546841,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-13,327.9,0.657878897,Schipper Power- Three,Netherlands,498.42
2024-03-14,156.036,2.400553846,Feuerwehr,Switzerland,65.0
2024-03-14,667.855,5.936488889,DeCrescent 178kW PV,United States,112.5
2024-03-14,2034.0,4.029837439,Pentaari,Greece,504.375
2024-03-14,70.462,1.40924,Wray Farms,United Kingdom,50.0
2024-03-14,2033.836,4.010719779,siris-D-500kW,Greece,507.1
2024-03-14,1885.441,4.493103448,MAWC,Maldives,419.63
2024-03-14,670.644,6.209666667,Nugali,Brazil,108.0
2024-03-14,1024.535,4.05403213,Wannon Water,Australia,252.72
2024-03-14,300.287,3.271100218,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-14,1282.5,2.573131094,Schipper Power- Three,Netherlands,498.42
2024-03-15,675.74,1.355764215,Schipper Power- Three,Netherlands,498.42
2024-03-15,128.632,1.143395556,DeCrescent 178kW PV,United States,112.5
2024-03-15,108.757,2.17514,Wray Farms,United Kingdom,50.0
2024-03-15,586.146,5.427277778,Nugali,Brazil,108.0
2024-03-15,271.964,2.962570806,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-15,2592.0,5.135368064,Pentaari,Greece,504.375
2024-03-15,999.738,2.382427376,MAWC,Maldives,419.63
2024-03-15,139.08,2.139692308,Feuerwehr,Switzerland,65.0
2024-03-15,2638.672,5.20345494,siris-D-500kW,Greece,507.1
2024-03-15,1549.005,6.129332858,Wannon Water,Australia,252.72
2024-03-16,432.534,4.004944444,Nugali,Brazil,108.0
2024-03-16,128.698,2.57396,Wray Farms,United Kingdom,50.0
2024-03-16,2295.893,4.527495563,siris-D-500kW,Greece,507.1
2024-03-16,497.114,4.418791111,DeCrescent 178kW PV,United States,112.5
2024-03-16,129.186,1.987476923,Feuerwehr,Switzerland,65.0
2024-03-16,2264.0,4.485522106,Pentaari,Greece,504.375
2024-03-16,1450.374,5.739055081,Wannon Water,Australia,252.72
2024-03-16,1979.826,4.718027786,MAWC,Maldives,419.63
2024-03-16,755.29,1.515368565,Schipper Power- Three,Netherlands,498.42
2024-03-16,149.018,1.62328976,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-17,1370.477,5.422906774,Wannon Water,Australia,252.72
2024-03-17,2014.929,4.801680051,MAWC,Maldives,419.63
2024-03-17,2005.428,3.95469927,siris-D-500kW,Greece,507.1
2024-03-17,86.127,1.325030769,Feuerwehr,Switzerland,65.0
2024-03-17,77.256,1.54512,Wray Farms,United Kingdom,50.0
2024-03-17,291.034,3.170305011,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-17,471.322,4.189528889,DeCrescent 178kW PV,United States,112.5
2024-03-17,647.19,1.298483207,Schipper Power- Three,Netherlands,498.42
2024-03-17,2177.0,4.313154428,Pentaari,Greece,504.375
2024-03-17,419.521,3.884453704,Nugali,Brazil,108.0
2024-03-18,3062.557,6.039355157,siris-D-500kW,Greece,507.1
2024-03-18,35.793,0.550661538,Feuerwehr,Switzerland,65.0
2024-03-18,334.481,2.973164444,DeCrescent 178kW PV,United States,112.5
2024-03-18,1952.549,4.653025284,MAWC,Maldives,419.63
2024-03-18,3110.0,6.161649182,Pentaari,Greece,504.375
2024-03-18,1039.4,2.085389832,Schipper Power- Three,Netherlands,498.42
2024-03-18,422.051,3.90787963,Nugali,Brazil,108.0
2024-03-18,1207.485,4.77795584,Wannon Water,Australia,252.72
2024-03-18,164.874,1.796013072,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-18,133.387,2.66774,Wray Farms,United Kingdom,50.0
2024-03-19,2004.851,4.777663656,MAWC,Maldives,419.63
2024-03-19,579.181,2.291789332,Wannon Water,Australia,252.72
2024-03-19,107.541,2.15082,Wray Farms,United Kingdom,50.0
2024-03-19,1341.298,2.645036482,siris-D-500kW,Greece,507.1
2024-03-19,567.466,5.044142222,DeCrescent 178kW PV,United States,112.5
2024-03-19,310.292,2.873074074,Nugali,Brazil,108.0
2024-03-19,919.24,1.844308013,Schipper Power- Three,Netherlands,498.42
2024-03-19,1230.0,2.436922345,Pentaari,Greece,504.375
2024-03-19,240.46,2.619389978,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-19,126.588,1.947507692,Feuerwehr,Switzerland,65.0
2024-03-20,516.671,4.783990741,Nugali,Brazil,108.0
2024-03-20,353.209,3.139635556,DeCrescent 178kW PV,United States,112.5
2024-03-20,3185.0,6.310242008,Pentaari,Greece,504.375
2024-03-20,1356.807,5.36881529,Wannon Water,Australia,252.72
2024-03-20,274.27,2.987690632,HLT1 Klagenfurt Lastenstrasse,Austria,91.8
2024-03-20,871.22,1.747963565,Schipper Power- Three,Netherlands,498.42
2024-03-20,3213.842,6.337688819,siris-D-500kW,Greece,507.1
2024-03-20,1618.786,3.857650788,MAWC,Maldives,419.63
2024-03-20,62.753,1.25506,Wray Farms,United Kingdom,50.0
2024-03-20,181.863,2.797892308,Feuerwehr,Switzerland,65.0
2024-03-21,3249.356,6.407722343,siris-D-500kW,Greece,507.1
2024-03-21,3198.0,6.335998098,Pentaari,Greece,504.375
2024-03-21,84.686,1.69372,Wray Farms,United Kingdom,50.0
2024-03-21,432.32,4.002962963,Nugali,Brazil,108.0
