Date,Generated,Efficiency,System Name,Location,System Size (kW)
11/17/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
11/16/2024,403.971kWh,2.638kWh/kW,FRECON,Thailand,153.14
11/15/2024,299.552kWh,1.956kWh/kW,FRECON,Thailand,153.14
11/14/2024,369.908kWh,2.415kWh/kW,FRECON,Thailand,153.14
11/13/2024,426.705kWh,2.786kWh/kW,FRECON,Thailand,153.14
11/12/2024,440.508kWh,2.877kWh/kW,FRECON,Thailand,153.14
11/11/2024,486.243kWh,3.175kWh/kW,FRECON,Thailand,153.14
11/10/2024,468.755kWh,3.061kWh/kW,FRECON,Thailand,153.14
11/9/2024,374.010kWh,2.442kWh/kW,FRECON,Thailand,153.14
11/8/2024,448.981kWh,2.932kWh/kW,FRECON,Thailand,153.14
11/7/2024,316.788kWh,2.069kWh/kW,FRECON,Thailand,153.14
11/6/2024,288.208kWh,1.882kWh/kW,FRECON,Thailand,153.14
11/5/2024,320.986kWh,2.096kWh/kW,FRECON,Thailand,153.14
11/4/2024,418.391kWh,2.732kWh/kW,FRECON,Thailand,153.14
11/3/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
11/2/2024,546.199kWh,3.567kWh/kW,FRECON,Thailand,153.14
11/1/2024,327.427kWh,2.138kWh/kW,FRECON,Thailand,153.14
10/31/2024,430.076kWh,2.808kWh/kW,FRECON,Thailand,153.14
10/30/2024,553.569kWh,3.615kWh/kW,FRECON,Thailand,153.14
10/29/2024,280.542kWh,1.832kWh/kW,FRECON,Thailand,153.14
10/28/2024,329.990kWh,2.155kWh/kW,FRECON,Thailand,153.14
10/27/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
10/26/2024,564.110kWh,3.684kWh/kW,FRECON,Thailand,153.14
10/25/2024,431.534kWh,2.818kWh/kW,FRECON,Thailand,153.14
10/24/2024,525.478kWh,3.431kWh/kW,FRECON,Thailand,153.14
10/23/2024,352.643kWh,2.303kWh/kW,FRECON,Thailand,153.14
10/22/2024,365.417kWh,2.386kWh/kW,FRECON,Thailand,153.14
10/21/2024,420.884kWh,2.748kWh/kW,FRECON,Thailand,153.14
10/20/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
10/19/2024,400.268kWh,2.614kWh/kW,FRECON,Thailand,153.14
10/18/2024,372.344kWh,2.431kWh/kW,FRECON,Thailand,153.14
10/17/2024,438.702kWh,2.865kWh/kW,FRECON,Thailand,153.14
10/16/2024,244.377kWh,1.596kWh/kW,FRECON,Thailand,153.14
10/15/2024,293.812kWh,1.919kWh/kW,FRECON,Thailand,153.14
10/14/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
10/13/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
10/12/2024,300.863kWh,1.965kWh/kW,FRECON,Thailand,153.14
10/11/2024,344.176kWh,2.247kWh/kW,FRECON,Thailand,153.14
10/10/2024,339.235kWh,2.215kWh/kW,FRECON,Thailand,153.14
10/9/2024,339.139kWh,2.215kWh/kW,FRECON,Thailand,153.14
10/8/2024,343.820kWh,2.245kWh/kW,FRECON,Thailand,153.14
10/7/2024,330.205kWh,2.156kWh/kW,FRECON,Thailand,153.14
10/6/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
10/5/2024,420.381kWh,2.745kWh/kW,FRECON,Thailand,153.14
10/4/2024,350.601kWh,2.289kWh/kW,FRECON,Thailand,153.14
10/3/2024,374.811kWh,2.448kWh/kW,FRECON,Thailand,153.14
10/2/2024,522.828kWh,3.414kWh/kW,FRECON,Thailand,153.14
10/1/2024,500.837kWh,3.270kWh/kW,FRECON,Thailand,153.14
9/30/2024,554.412kWh,3.620kWh/kW,FRECON,Thailand,153.14
9/29/2024,0.000kWh,0.000kWh/kW,FRECON,Thailand,153.14
