Date,Generated,Efficiency,System Name,Location,System Size (kW)
9/16/2024,54.000kWh,0.107kWh/kW,Pentaari,Greece,504.375
9/15/2024,2615.000kWh,5.181kWh/kW,Pentaari,Greece,504.375
9/14/2024,1732.000kWh,3.432kWh/kW,Pentaari,Greece,504.375
9/13/2024,242.000kWh,0.479kWh/kW,Pentaari,Greece,504.375
9/12/2024,2957,5.858519817,Pentaari,Greece,504.375
9/11/2024,2787,5.521709412,Pentaari,Greece,504.375
9/10/2024,806,1.596877569,Pentaari,Greece,504.375
9/9/2024,1891,3.746520451,Pentaari,Greece,504.375
9/8/2024,587,1.162986518,Pentaari,Greece,504.375
9/7/2024,2680,5.30971698,Pentaari,Greece,504.375
9/6/2024,2500,4.953094198,Pentaari,Greece,504.375
9/5/2024,2729,5.406797626,Pentaari,Greece,504.375
9/4/2024,2416,4.786670233,Pentaari,Greece,504.375
9/3/2024,2741,5.430572479,Pentaari,Greece,504.375
9/2/2024,2902,5.749551745,Pentaari,Greece,504.375
9/1/2024,2615,5.180936531,Pentaari,Greece,504.375
8/31/2024,2435,4.824313749,Pentaari,Greece,504.375
8/30/2024,399,0.790513834,Pentaari,Greece,504.375
8/29/2024,2727,5.402835151,Pentaari,Greece,504.375
8/28/2024,2553,5.058099795,Pentaari,Greece,504.375
8/27/2024,2960,5.86446353,Pentaari,Greece,504.375
8/26/2024,2289,4.535053048,Pentaari,Greece,504.375
8/25/2024,2804,5.555390452,Pentaari,Greece,504.375
8/24/2024,2966,5.876350956,Pentaari,Greece,504.375
8/23/2024,2929,5.803045162,Pentaari,Greece,504.375
8/22/2024,2914,5.773326597,Pentaari,Greece,504.375
8/21/2024,2566,5.083855885,Pentaari,Greece,504.375
8/20/2024,1770,3.506790692,Pentaari,Greece,504.375
8/19/2024,2103,4.166542839,Pentaari,Greece,504.375
8/18/2024,2358,4.671758448,Pentaari,Greece,504.375
8/17/2024,2617,5.184899006,Pentaari,Greece,504.375
8/16/2024,2642,5.234429948,Pentaari,Greece,504.375
8/15/2024,2869,5.684170902,Pentaari,Greece,504.375
8/14/2024,2957,5.858519817,Pentaari,Greece,504.375
8/13/2024,2906,5.757476696,Pentaari,Greece,504.375
8/12/2024,2935,5.814932588,Pentaari,Greece,504.375
8/11/2024,2958,5.860501055,Pentaari,Greece,504.375
8/10/2024,2977,5.898144571,Pentaari,Greece,504.375
8/9/2024,2915,5.775307835,Pentaari,Greece,504.375
8/8/2024,2977,5.898144571,Pentaari,Greece,504.375
8/7/2024,2934,5.812951351,Pentaari,Greece,504.375
8/6/2024,2949,5.842669916,Pentaari,Greece,504.375
8/5/2024,2509,4.970925337,Pentaari,Greece,504.375
8/4/2024,2560,5.071968459,Pentaari,Greece,504.375
8/3/2024,2747.000kWh,5.442459905,Pentaari,Greece,504.375
8/2/2024,1417.000kWh,2.807413791,Pentaari,Greece,504.375
8/1/2024,3036.000kWh,6.015037594,Pentaari,Greece,504.375
7/31/2024,3002.000kWh,5.947675513,Pentaari,Greece,504.375
7/30/2024,3109.000kWh,6.159667945,Pentaari,Greece,504.375
7/29/2024,3016.000kWh,5.97541284,Pentaari,Greece,504.375
7/28/2024,3078.000kWh,6.098249577,Pentaari,Greece,504.375
7/27/2024,3091.000kWh,6.124005666,Pentaari,Greece,504.375
7/26/2024,2984.000kWh,5.912013235,Pentaari,Greece,504.375
7/25/2024,2863.000kWh,5.672283475,Pentaari,Greece,504.375
7/24/2024,2087.000kWh,4.134843036,Pentaari,Greece,504.375
7/23/2024,2715.000kWh,5.379060299,Pentaari,Greece,504.375
7/22/2024,2881.000kWh,5.707945754,Pentaari,Greece,504.375
7/21/2024,2980.000kWh,5.904088284,Pentaari,Greece,504.375
7/20/2024,2993.000kWh,5.929844374,Pentaari,Greece,504.375
7/19/2024,2907.000kWh,5.759457933,Pentaari,Greece,504.375
7/18/2024,2859.000kWh,5.664358525,Pentaari,Greece,504.375
7/17/2024,2950.000kWh,5.844651154,Pentaari,Greece,504.375
7/16/2024,3015.000kWh,5.973431603,Pentaari,Greece,504.375
7/15/2024,3030.000kWh,6.003150168,Pentaari,Greece,504.375
7/14/2024,2960.000kWh,5.86446353,Pentaari,Greece,504.375
7/13/2024,2978.000kWh,5.900125809,Pentaari,Greece,504.375
7/12/2024,2970.000kWh,5.884275907,Pentaari,Greece,504.375
7/11/2024,3001.000kWh,5.945694275,Pentaari,Greece,504.375
7/10/2024,1861.000kWh,3.687083321,Pentaari,Greece,504.375
7/9/2024,3004.000kWh,5.951637988,Pentaari,Greece,504.375
7/8/2024,3014.000kWh,5.971450365,Pentaari,Greece,504.375
7/7/2024,3109.000kWh,6.159667945,Pentaari,Greece,504.375
7/6/2024,3145.000kWh,6.230992501,Pentaari,Greece,504.375
7/5/2024,3166.000kWh,6.272598492,Pentaari,Greece,504.375
7/4/2024,2771.000kWh,5.490009609,Pentaari,Greece,504.375
7/3/2024,3190.000kWh,6.320148197,Pentaari,Greece,504.375
7/2/2024,1805.000kWh,3.576134011,Pentaari,Greece,504.375
7/1/2024,3060.000kWh,6.062587298,Pentaari,Greece,504.375
6/30/2024,3129.000kWh,6.199292698,Pentaari,Greece,504.375
6/29/2024,3078.000kWh,6.098249577,Pentaari,Greece,504.375
6/28/2024,2897.000kWh,5.739645557,Pentaari,Greece,504.375
6/27/2024,2972.000kWh,5.888238383,Pentaari,Greece,504.375
6/26/2024,2939.000kWh,5.822857539,Pentaari,Greece,504.375
6/25/2024,2992.000kWh,5.927863136,Pentaari,Greece,504.375
6/24/2024,2964,5.872388481,Pentaari,Greece,504.375
