Date,Generated,Efficiency,System Name,Location,System Size (kW)
12/3/2024,22.915kWh,0.458kWh/kW,Wray Farms,United Kingdom,50
12/2/2024,18.068kWh,0.361kWh/kW,Wray Farms,United Kingdom,50
12/1/2024,11.054kWh,0.221kWh/kW,Wray Farms,United Kingdom,50
11/30/2024,18.934kWh,0.379kWh/kW,Wray Farms,United Kingdom,50
11/29/2024,67.043kWh,1.341kWh/kW,Wray Farms,United Kingdom,50
11/28/2024,63.986kWh,1.280kWh/kW,Wray Farms,United Kingdom,50
11/27/2024,27.828kWh,0.557kWh/kW,Wray Farms,United Kingdom,50
11/26/2024,81.215kWh,1.624kWh/kW,Wray Farms,United Kingdom,50
11/25/2024,71.842kWh,1.437kWh/kW,Wray Farms,United Kingdom,50
11/24/2024,10.732kWh,0.215kWh/kW,Wray Farms,United Kingdom,50
11/23/2024,4.152kWh,0.083kWh/kW,Wray Farms,United Kingdom,50
11/22/2024,84.311kWh,1.686kWh/kW,Wray Farms,United Kingdom,50
11/21/2024,72.566kWh,1.451kWh/kW,Wray Farms,United Kingdom,50
11/20/2024,79.355kWh,1.587kWh/kW,Wray Farms,United Kingdom,50
11/19/2024,23.811kWh,0.476kWh/kW,Wray Farms,United Kingdom,50
11/18/2024,44.992kWh,0.900kWh/kW,Wray Farms,United Kingdom,50
11/17/2024,60.582kWh,1.212kWh/kW,Wray Farms,United Kingdom,50
11/16/2024,18.604kWh,0.372kWh/kW,Wray Farms,United Kingdom,50
11/15/2024,36.777kWh,0.736kWh/kW,Wray Farms,United Kingdom,50
11/14/2024,39.379kWh,0.788kWh/kW,Wray Farms,United Kingdom,50
11/13/2024,78.546kWh,1.571kWh/kW,Wray Farms,United Kingdom,50
11/12/2024,28.100kWh,0.562kWh/kW,Wray Farms,United Kingdom,50
11/11/2024,93.317kWh,1.866kWh/kW,Wray Farms,United Kingdom,50
11/10/2024,18.303kWh,0.366kWh/kW,Wray Farms,United Kingdom,50
11/9/2024,12.161kWh,0.243kWh/kW,Wray Farms,United Kingdom,50
11/8/2024,13.136kWh,0.263kWh/kW,Wray Farms,United Kingdom,50
11/7/2024,10.259kWh,0.205kWh/kW,Wray Farms,United Kingdom,50
11/6/2024,20.421kWh,0.408kWh/kW,Wray Farms,United Kingdom,50
11/5/2024,21.346kWh,0.427kWh/kW,Wray Farms,United Kingdom,50
11/4/2024,12.590kWh,0.252kWh/kW,Wray Farms,United Kingdom,50
11/3/2024,30.548kWh,0.611kWh/kW,Wray Farms,United Kingdom,50
