Date,Generated,Efficiency,System Name,Location,System Size (kW)
11/22/2024,0.000kWh,0.000kWh/kW,Feuerwehr,Switzerland,65
11/21/2024,23.427kWh,0.360kWh/kW,Feuerwehr,Switzerland,65
11/20/2024,57.060kWh,0.878kWh/kW,Feuerwehr,Switzerland,65
11/19/2024,28.098kWh,0.432kWh/kW,Feuerwehr,Switzerland,65
11/18/2024,58.356kWh,0.898kWh/kW,Feuerwehr,Switzerland,65
11/17/2024,60.300kWh,0.928kWh/kW,Feuerwehr,Switzerland,65
11/16/2024,63.378kWh,0.975kWh/kW,Feuerwehr,Switzerland,65
11/15/2024,77.571kWh,1.193kWh/kW,Feuerwehr,Switzerland,65
11/14/2024,43.074kWh,0.663kWh/kW,Feuerwehr,Switzerland,65
11/13/2024,13.524kWh,0.208kWh/kW,Feuerwehr,Switzerland,65
11/12/2024,12.819kWh,0.197kWh/kW,Feuerwehr,Switzerland,65
11/11/2024,31.938kWh,0.491kWh/kW,Feuerwehr,Switzerland,65
11/10/2024,16.131kWh,0.248kWh/kW,Feuerwehr,Switzerland,65
11/9/2024,15.423kWh,0.237kWh/kW,Feuerwehr,Switzerland,65
11/8/2024,40.737kWh,0.627kWh/kW,Feuerwehr,Switzerland,65
11/7/2024,21.348kWh,0.328kWh/kW,Feuerwehr,Switzerland,65
11/6/2024,54.795kWh,0.843kWh/kW,Feuerwehr,Switzerland,65
11/5/2024,61.971kWh,0.953kWh/kW,Feuerwehr,Switzerland,65
11/4/2024,25.131kWh,0.387kWh/kW,Feuerwehr,Switzerland,65
11/3/2024,18.813kWh,0.289kWh/kW,Feuerwehr,Switzerland,65
11/2/2024,10.650kWh,0.164kWh/kW,Feuerwehr,Switzerland,65
11/1/2024,88.200kWh,1.357kWh/kW,Feuerwehr,Switzerland,65
10/31/2024,19.959kWh,0.307kWh/kW,Feuerwehr,Switzerland,65
10/30/2024,26.766kWh,0.412kWh/kW,Feuerwehr,Switzerland,65
10/29/2024,59.538kWh,0.916kWh/kW,Feuerwehr,Switzerland,65
10/28/2024,79.071kWh,1.216kWh/kW,Feuerwehr,Switzerland,65
10/27/2024,99.678kWh,1.534kWh/kW,Feuerwehr,Switzerland,65
10/26/2024,18.354kWh,0.282kWh/kW,Feuerwehr,Switzerland,65
10/25/2024,29.943kWh,0.461kWh/kW,Feuerwehr,Switzerland,65
10/24/2024,74.610kWh,1.148kWh/kW,Feuerwehr,Switzerland,65
10/23/2024,24.534kWh,0.377kWh/kW,Feuerwehr,Switzerland,65
10/22/2024,76.140kWh,1.171kWh/kW,Feuerwehr,Switzerland,65
10/21/2024,90.321kWh,1.390kWh/kW,Feuerwehr,Switzerland,65
10/20/2024,44.910kWh,0.691kWh/kW,Feuerwehr,Switzerland,65
